agency_name,responsibility_center_name,fiscal_year,total_budget
DEPARTMENT OF HOMELESS SERVICES,SINGLE SHELTER OPERATIONS,2017,519973223
DEPARTMENT OF HOMELESS SERVICES,,2017,27982256
DEPARTMENT OF INFO TECH & TELECOMM,311/NYC.GOV OPERATIONS,2017,44210585
DEPARTMENT OF INFO TECH & TELECOMM,Application Development Management,2017,37752242
DEPARTMENT OF INFO TECH & TELECOMM,CHIEF OF STAFF,2017,1349168
DEPARTMENT OF INFO TECH & TELECOMM,CHIEF TECHNOLOGY OFFICER,2017,3328507
DEPARTMENT OF INFO TECH & TELECOMM,CITYWIDE SUPPORT,2017,65660686
DEPARTMENT OF INFO TECH & TELECOMM,COMMISSIONER'S OFFICE,2017,7728559
DEPARTMENT OF INFO TECH & TELECOMM,Division of Administration,2017,168444678
DEPARTMENT OF INFO TECH & TELECOMM,ECTP,2017,94557122
DEPARTMENT OF INFO TECH & TELECOMM,First Deputy Commissioner's Office,2017,1034100
DEPARTMENT OF INFO TECH & TELECOMM,GENERAL COUNSEL,2017,7680980
DEPARTMENT OF INFO TECH & TELECOMM,HHS Connect,2017,894671
DEPARTMENT OF INFO TECH & TELECOMM,NYC MEDIA GROUP,2017,36494630
DEPARTMENT OF INFO TECH & TELECOMM,"Policy, Planning & Communications",2017,45379
DEPARTMENT OF INFO TECH & TELECOMM,Technology Development Corporation,2017,3186442
DEPARTMENT OF INFO TECH & TELECOMM,TECHNOLOGY SERVICES,2017,196403026
DEPARTMENT OF INFO TECH & TELECOMM,,2017,4320217
DEPARTMENT OF INVESTIGATION,BACKGROUND COMPLAINTS FINGPRT,2017,2024821
DEPARTMENT OF INVESTIGATION,EXECUTIVE,2017,2709720
DEPARTMENT OF INVESTIGATION,INSPECTOR GENERAL,2017,5144470
DEPARTMENT OF INVESTIGATION,INSPECTOR GENERAL-IC,2017,13697031
DEPARTMENT OF INVESTIGATION,INVESTIGATIONS MANAGMENT,2017,627993
DEPARTMENT OF INVESTIGATION,MANAGEMENT+ADMIN,2017,10809150
DEPARTMENT OF INVESTIGATION,,2017,15514206
DEPARTMENT OF PARKS AND RECREATION,BRONX OPERATIONS,2017,29628567
DEPARTMENT OF PARKS AND RECREATION,BRONX RECREATION,2017,3544693
DEPARTMENT OF PARKS AND RECREATION,BROOKLYN OPERATIONS,2017,39954125
